archivo,bytes,lineas,sha256_inicial,sha256_final,sin_cambio,tratamiento,hallazgos
.claude/settings.local.json,1229,30,73d4faf752b368fbe5ed21d10a9712aafb99772a911fd157288f1a76bf558f62,73d4faf752b368fbe5ed21d10a9712aafb99772a911fd157288f1a76bf558f62,True,Revisión de configuración/entrega y barrido textual,Sin hallazgo específico; no equivale a certificación
.codex/hooks.json,1270,31,adb74814c523b4694dfa592de8b6a9893ddbc787975715c5d56a7644f2589f6a,adb74814c523b4694dfa592de8b6a9893ddbc787975715c5d56a7644f2589f6a,True,Revisión de configuración/entrega y barrido textual,QA-03
.cursor/hooks.json,421,11,89a6de2e5d765c8118d8fed7238af74a8b1355ad2003fda1f80dcb8b403d8fe0,89a6de2e5d765c8118d8fed7238af74a8b1355ad2003fda1f80dcb8b403d8fe0,True,Revisión de configuración/entrega y barrido textual,Sin hallazgo específico; no equivale a certificación
.gitignore,81,8,cad3e9fce9d08c557a63ba7749331840efff2180b6f70dfef46d4b1472a3680c,cad3e9fce9d08c557a63ba7749331840efff2180b6f70dfef46d4b1472a3680c,True,Revisión de configuración/entrega y barrido textual,SEG-10
backend/hotel-erp.slnx,121,5,f9a8f78921b9ac5a295415f1089e81bc23073faedb4dc918f1ac501ff22e9b55,f9a8f78921b9ac5a295415f1089e81bc23073faedb4dc918f1ac501ff22e9b55,True,Revisión de configuración/entrega y barrido textual,Sin hallazgo específico; no equivale a certificación
backend/src/hotel-erp.Api/Controllers/AccountingController.cs,10642,270,3f0896dd895d73e0a5a0c9e6d0e575918374dbd70d84628adb1bb57f2a26e462,3f0896dd895d73e0a5a0c9e6d0e575918374dbd70d84628adb1bb57f2a26e462,True,Revisión de módulo/flujo y barrido estático; ejecución selectiva según pruebas,"FIN-11,FIN-12,SEG-03"
backend/src/hotel-erp.Api/Controllers/AuditLogsController.cs,6652,177,7c49a5ad9d9bfdee2df935b7dd0cbe37c126da5ec5257458b47892c269543245,7c49a5ad9d9bfdee2df935b7dd0cbe37c126da5ec5257458b47892c269543245,True,Revisión de módulo/flujo y barrido estático; ejecución selectiva según pruebas,"SEG-06,SEG-07"
backend/src/hotel-erp.Api/Controllers/AuthController.cs,3628,98,7cff053a16dd2bbc70d1686c28e4f56b1cdc395aa9c10fc88c8779dbdfa0ca89,7cff053a16dd2bbc70d1686c28e4f56b1cdc395aa9c10fc88c8779dbdfa0ca89,True,Revisión de módulo/flujo y barrido estático; ejecución selectiva según pruebas,Sin hallazgo específico; no equivale a certificación
backend/src/hotel-erp.Api/Controllers/BackupController.cs,2217,68,147c504b85ed5aa167ebd441f488ded0cd76b50e3739af716c8082e490d35a82,147c504b85ed5aa167ebd441f488ded0cd76b50e3739af716c8082e490d35a82,True,Revisión de módulo/flujo y barrido estático; ejecución selectiva según pruebas,SEG-04
backend/src/hotel-erp.Api/Controllers/CAIController.cs,2517,76,114304862a16b4306721787f5f4e94a5ab79a1627c1590ae33764b8f7c1e2b4a,114304862a16b4306721787f5f4e94a5ab79a1627c1590ae33764b8f7c1e2b4a,True,Revisión de módulo/flujo y barrido estático; ejecución selectiva según pruebas,DB-02
backend/src/hotel-erp.Api/Controllers/CashRegistersController.cs,4129,102,4ddbb4d5ec283c2e62d96ea01a0e1bee8b99298b33c9a438eb1b1939b3708f75,4ddbb4d5ec283c2e62d96ea01a0e1bee8b99298b33c9a438eb1b1939b3708f75,True,Revisión de módulo/flujo y barrido estático; ejecución selectiva según pruebas,FIN-10
